group	fill
1	#ECD6D3
2	#ECD4D1
3	#EBD2CF
4	#E9D0CC
5	#E8CDCA
6	#E7CBC8
7	#E6C9C5
8	#E5C7C4
9	#E4C6C2
10	#E4C4C0
11	#E3C2BE
12	#E1BFBB
13	#E0BCB8
14	#DFBAB5
15	#DDB7B2
16	#DCB4B0
17	#D9AFAA
18	#D6A9A4
19	#D3A49E
20	#D09E98
21	#CE9B94
22	#CC9791
23	#CA948E
24	#C8918B
25	#C68D87
26	#C48982
27	#C0847D
28	#BD7E77
29	#BA7972
30	#B7746D
31	#F3E3E1
32	#F2E2DF
33	#F1E0DD
34	#F0DDDB
35	#EFDBD8
36	#EED9D6
37	#EDD7D4
38	#ECD5D2
39	#EBD3D0
40	#EAD1CE
41	#E9CFCC
42	#E8CDCA
43	#E7CAC7
44	#E6C8C4
45	#E4C5C1
46	#E3C2BE
47	#E0BDB8
48	#DDB7B2
49	#DAB1AC
50	#D7ABA5
51	#D4A59F
52	#D1A09A
53	#CF9D97
54	#CD9A94
55	#CB9690
56	#C8918B
57	#C68C85
58	#C28780
59	#BF827B
60	#BC7D76
61	#F9F1F0
62	#F8EFEE
63	#F7EDEC
64	#F6EBE9
65	#F5E9E7
66	#F4E7E5
67	#F4E5E3
68	#F3E3E1
69	#F2E1DF
70	#F1DFDD
71	#F0DDDB
72	#EFDBD8
73	#EED8D6
74	#ECD6D3
75	#EBD3D0
76	#EAD0CD
77	#E7CAC6
78	#E4C4C0
79	#E1BEBA
80	#DEB8B3
81	#DBB2AD
82	#D7ACA7
83	#D4A7A1
84	#D2A29C
85	#D09E98
86	#CD9993
87	#CA958E
88	#C79089
89	#C58A84
90	#C1857E
91	#FFFEFE
92	#FEFDFD
93	#FDFBFB
94	#FCF9F8
95	#FBF7F6
96	#FBF5F4
97	#FAF3F2
98	#F9F1F0
99	#F8EFEE
100	#F7EDEB
101	#F6EBE9
102	#F5E9E7
103	#F4E6E5
104	#F3E4E2
105	#F2E1DF
106	#F0DEDB
107	#EDD7D5
108	#EAD1CE
109	#E7CBC8
110	#E4C6C2
111	#E1C0BB
112	#DEBAB5
113	#DBB4AF
114	#D8ADA7
115	#D4A6A0
116	#D1A19B
117	#CF9D97
118	#CC9892
119	#C9938D
120	#C68E87
121	#F4F3F9
122	#F5F4FA
123	#F7F6FB
124	#F9F8FC
125	#FAFAFC
126	#FCFCFD
127	#FEFDFE
128	#FFFFFF
129	#FEFDFC
130	#FDFAFA
131	#FCF8F8
132	#FBF6F6
133	#FAF4F3
134	#F9F2F1
135	#F8EFEE
136	#F6EBEA
137	#F4E5E3
138	#F1DFDD
139	#EED9D6
140	#EBD3D0
141	#E8CDC9
142	#E5C7C3
143	#E2C0BC
144	#DEB9B4
145	#DAB2AD
146	#D7ABA5
147	#D3A49F
148	#D1A09A
149	#CE9C95
150	#CB9690
151	#E9E6F3
152	#EAE7F4
153	#ECE9F4
154	#EDEBF5
155	#EFEDF6
156	#F1EEF7
157	#F2F0F8
158	#F4F2F9
159	#F6F4FA
160	#F7F6FB
161	#F9F8FC
162	#FBFAFD
163	#FCFCFE
164	#FEFEFF
165	#FEFDFD
166	#FCF9F9
167	#FAF3F2
168	#F7EDEB
169	#F4E7E5
170	#F2E1DE
171	#EFDBD8
172	#ECD4D1
173	#E8CDC9
174	#E4C5C1
175	#E1BEBA
176	#DDB7B2
177	#D9B0AA
178	#D6A9A3
179	#D3A39D
180	#CF9D97
181	#DEDAED
182	#DFDBEE
183	#E0DCEE
184	#E2DEEF
185	#E3E0F0
186	#E5E2F1
187	#E7E3F2
188	#E9E5F3
189	#EAE7F4
190	#ECE9F5
191	#EEEBF6
192	#EFEDF7
193	#F1EFF7
194	#F3F1F8
195	#F5F3F9
196	#F8F7FB
197	#FEFDFE
198	#FDFBFA
199	#FAF4F4
200	#F8EEED
201	#F5E8E7
202	#F2E1DF
203	#EED9D7
204	#EBD2CF
205	#E7CBC7
206	#E3C3BF
207	#E0BCB7
208	#DCB5B0
209	#D7ACA7
210	#D2A29D
211	#D3CDE7
212	#D4CEE8
213	#D5CFE8
214	#D6D1E9
215	#D8D3EA
216	#DAD5EB
217	#DCD7EC
218	#DDD9ED
219	#DFDAEE
220	#E1DCEF
221	#E2DEEF
222	#E4E0F0
223	#E6E2F1
224	#E7E4F2
225	#E9E6F3
226	#EDEAF5
227	#F2F0F8
228	#F7F6FB
229	#FCFCFD
230	#FEFCFC
231	#FBF5F4
232	#F7EEEC
233	#F4E6E4
234	#F1DFDC
235	#EDD7D4
236	#EAD0CC
237	#E6C8C5
238	#E2C0BC
239	#DCB5B0
240	#D6AAA4
241	#C8C1E1
242	#C9C2E1
243	#C9C3E2
244	#CBC4E3
245	#CDC6E4
246	#CEC8E5
247	#D0CAE6
248	#D2CCE6
249	#D4CEE7
250	#D5D0E8
251	#D7D2E9
252	#D9D3EA
253	#DAD5EB
254	#DCD7EC
255	#DED9ED
256	#E2DDEF
257	#E7E3F2
258	#ECE9F5
259	#F1EFF7
260	#F6F5FA
261	#FDFCFE
262	#FDFAFA
263	#FAF3F2
264	#F6EBEA
265	#F3E4E2
266	#F0DCDA
267	#ECD4D1
268	#E6C9C6
269	#E0BCB8
270	#D8AEA9
271	#BEB6DC
272	#BEB6DC
273	#BFB7DC
274	#C0B8DD
275	#C1BADE
276	#C3BCDE
277	#C5BEDF
278	#C7BFE0
279	#C8C1E1
280	#CAC3E2
281	#CCC5E3
282	#CDC7E4
283	#CFC9E5
284	#D1CBE6
285	#D2CCE7
286	#D6D1E9
287	#DBD6EC
288	#E0DCEE
289	#E6E2F1
290	#ECE9F5
291	#F2F0F8
292	#F8F7FB
293	#FEFEFF
294	#FCF8F8
295	#F9F1EF
296	#F5E9E7
297	#F0DDDB
298	#E9CFCB
299	#E2C0BC
300	#DAB1AC
301	#B5ACD7
302	#B5ACD7
303	#B5ADD7
304	#B6AED7
305	#B8AFD8
306	#B9B0D9
307	#BAB2D9
308	#BBB3DA
309	#BDB5DB
310	#BFB7DC
311	#C0B9DD
312	#C2BADE
313	#C4BCDF
314	#C5BEE0
315	#C7C0E1
316	#CBC5E3
317	#D0CAE5
318	#D5CFE8
319	#DBD6EB
320	#E1DDEF
321	#E7E4F2
322	#EEEBF6
323	#F4F2F9
324	#FAF9FC
325	#FEFDFD
326	#F8F0EF
327	#F2E1DF
328	#EBD2CF
329	#E3C3BF
330	#DCB4AF
331	#ABA2D1
332	#ACA2D2
333	#ACA3D2
334	#ADA4D2
335	#AEA5D3
336	#AFA6D4
337	#B1A8D4
338	#B2A9D5
339	#B3AAD6
340	#B4ABD6
341	#B5ADD7
342	#B7AED8
343	#B8B0D9
344	#BAB2D9
345	#BCB4DB
346	#C0B9DD
347	#C5BEDF
348	#CAC3E2
349	#D0CAE6
350	#D7D1E9
351	#DDD8EC
352	#E3DFF0
353	#E9E6F3
354	#F0EEF7
355	#FCFCFE
356	#FAF3F2
357	#F3E4E2
358	#ECD5D2
359	#E5C6C2
360	#DDB7B2
361	#A298CC
362	#A299CD
363	#A399CD
364	#A39ACD
365	#A59BCE
366	#A69CCE
367	#A79DCF
368	#A89FD0
369	#AAA0D0
370	#ABA1D1
371	#ACA3D2
372	#ADA4D3
373	#AFA5D3
374	#B0A7D4
375	#B2A9D5
376	#B6ADD7
377	#BAB2DA
378	#C0B8DD
379	#C6BFE0
380	#CCC5E3
381	#D2CCE7
382	#D9D4EA
383	#E1DDEF
384	#EDEBF5
385	#FAFAFC
386	#FBF5F4
387	#F3E5E3
388	#ECD5D2
389	#E4C6C2
